,na,nb,objective,rbf_variance,rbf_lengthscale,noise_variance,train_rms,val_rms,test_rms
0,2,2,-69785.30819520354,3.864943367150872,"[9.28824301746111, 9.560140480922035, 8.680228065464306, 6.404519924146748]",7.374990600626994e-05,0.003997650200763535,0.0038394399914125923,0.004002470301400258
1,2,3,-70437.11813685298,1.0424306007654107,"[9.22589674299788, 9.215524826941323, 8.709972091084133, 9.87612901049999, 6.555714193638575]",7.043413988474007e-05,0.0037557084074110758,0.0036124861340662085,0.0038027711278548785
2,2,4,-63448.169302493334,0.02341032224664314,"[5.23327250765598, 5.409822693458199, 4.535259785244656, 3.5913040834722514, 3.6215503379011564, 4.322175313095146]",8.899334221883631e-05,0.004236099066960396,0.004300713812649807,0.009074606920722645
3,2,5,-65356.13852608204,0.053800202823334094,"[6.01655048618792, 6.117698366446162, 5.158232648434592, 4.538544361513609, 4.698023554887447, 4.364165674124326, 4.228324034122897]",7.373249558105129e-05,0.004007087861138492,0.004100072685250523,0.008766022779207589
4,2,6,-70242.75089800358,0.25928059217879135,"[13.067496349772977, 13.823293671558663, 10.40496617719802, 8.971009313261375, 9.355443865841615, 9.791650326793853, 8.747515786413702, 7.628683550344975]",6.347228643050947e-05,0.0035859590818761266,0.0034753137943941935,0.0038907310068399406
5,2,7,-71064.11210343242,0.45330551530364366,"[15.24565790635665, 15.339857660150686, 10.65921007270227, 9.919746971015716, 10.711295233835052, 11.969717941332672, 12.136265187604232, 10.592306540079347, 9.033682047914796]",6.15893436012047e-05,0.003552628288522576,0.0034361986727953014,0.0036568608228054683
6,2,8,-71110.38401052356,0.9852064831326945,"[17.79452102323391, 18.826292941313117, 15.91797856343651, 14.643485656232256, 13.561922720524228, 13.440066396603337, 14.175642550614063, 14.688180175313487, 14.121648162654843, 12.975453022053884]",6.124785028870482e-05,0.003551318803550721,0.0034340628375677178,0.00362289508234442
7,2,9,-71026.64751979709,3.3020307270226144,"[25.36190996473031, 27.39597360320935, 24.188847194810535, 22.096766745273197, 20.228485729129098, 19.79893101381515, 21.391359648386242, 23.641922196036095, 24.708807901448065, 23.84762384241615, 21.6402437094764]",6.344230846418226e-05,0.0035950572825535526,0.0034641753988463057,0.0036826435010379865
8,2,10,-70301.17916494608,0.9306725773582943,"[22.92719538867112, 24.25444569104307, 19.823055004985147, 19.035444319430777, 18.322743607177088, 17.92316310253831, 18.28006474418672, 19.298171997739487, 20.216944829548105, 20.14331010385846, 18.384729526911975, 14.964791088944724]",6.468954487332517e-05,0.0036435767481429043,0.003507473054088374,0.0038551815201052814
9,3,2,-69669.20583704114,5.865298124262324,"[16.59818447892733, 17.4225504204424, 16.252392583640606, 14.001944232116424, 8.98446056461855]",6.935818508275442e-05,0.004011699478722862,0.0038596641534076317,0.004029677780494448
10,3,3,-70089.01523092389,1.2304905137993474,"[10.284611809711965, 9.833797547725013, 10.580865932972575, 12.193395327594175, 10.974617754366726, 7.179175628861096]",6.629131504955276e-05,0.003793964738835641,0.0036521400045958917,0.0038538039745357436
11,3,4,-65475.31191930175,0.1511119328493177,"[6.885856242305133, 7.361642322611977, 7.298193832241164, 6.980253905359131, 6.76376607528094, 6.287354654236482, 5.793484604924655]",8.28055224773677e-05,0.004125845822324062,0.004166458683660396,0.005820584858086059
